id,Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
1,NS Transports,Non A/C Seater / Sleeper (2+1),21:45,6:10,08h 25m,600,24,4.925943304,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
2,MMK Travels,A/C Seater / Sleeper (2+1),22:30,7:30,09h 00m,700,26,5.68206967,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
3,NS Transports,VE A/C Sleeper (2+1),22:45,7:30,08h 45m,878,22,5.263500602,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
4,AdSAAM BUS,VE A/C Sleeper (2+1),18:40,6:45,12h 05m,850,14,5.207614308,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode,Bangalore to Kozhikode
6,MMK Travels,A/C Sleeper (2+1),20:30,5:30,09h 00m,1900,8,4.37219167,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
7,DLT BUS,A/C Sleeper (2+1),21:45,6:30,08h 45m,1900,6,5.738573468,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
8,CHANCHALAS TOURS AND TRAVELS,A/C Semi Sleeper (2+2),19:00,4:15,09h 15m,2849,29,5.863831441,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
9,MMK Travels,A/C Seater / Sleeper (2+1),21:30,6:00,08h 30m,1699,8,4.766180991,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
10,P K Travels,A/C Sleeper (2+1),20:00,6:00,10h 00m,1710,6,4.932736147,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore,Kozhikode to Bangalore
11,KSRTC (Kerala) - 2900,Low Floor AC Seater 2+2,18:00,0:15,06h 15m,383,1,3.132075186,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
12,A1 Travels,A/C Seater / Sleeper (2+1),20:05,23:59,03h 54m,700,1,5.945023804,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
13,A1 Travels,Bharat Benz A/C Semi Sleeper (2+2),22:00,2:30,04h 30m,800,31,3.695260564,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
14,EMERALD TRAVELS,Bharat Benz A/C Semi Sleeper (2+2),22:10,2:40,04h 30m,900,16,2.737434568,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
15,Agney Travels,VE A/C Seater / Sleeper (2+1),23:55,4:35,04h 40m,850,1,2.600430912,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam,Kozhikode to Ernakulam
16,Ubc travels,A/C Semi Sleeper (2+2),20:40,1:00,04h 20m,900,15,2.790974828,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
17,Holy Maria Travels,A/C Semi Sleeper (2+2),20:45,1:30,04h 45m,700,29,4.248101182,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
18,Holy Maria Travels,A/C Semi Sleeper (2+2),20:50,2:10,05h 20m,700,19,2.92706405,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
19,Kalpaka Travels 1,A/C Sleeper (2+1),20:55,2:30,05h 35m,800,11,5.933188749,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode,Ernakulam to Kozhikode
21,Sugama Tourist,A/C Sleeper (2+1),22:00,5:30,07h 30m,750,12,2.654866138,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
22,GOLDEN TRAVEL AGENCIES,A/C Sleeper (2+1),22:00,5:25,07h 25m,899,18,1.530346022,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
23,P K Travels,NON A/C Semi Sleeper (2+2),21:45,5:00,07h 15m,630,23,3.070091492,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
24,AdMMK Travels,VE A/C Seater / Sleeper (2+1),22:15,5:30,07h 15m,699,25,4.733562948,https://www.redbus.in/bus-tickets/bangalore-to-kannur,Bangalore to Kannur
26,CHANCHALAS TOURS AND TRAVELS,A/C Semi Sleeper (2+2),19:00,1:30,06h 30m,2849,29,4.54504733,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
27,A1 Travels,A/C Seater / Sleeper (2+1),20:00,4:00,08h 00m,1500,2,3.670703829,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
28,MMK Travels,A/C Sleeper (2+1),20:30,3:00,06h 30m,1900,9,4.5208843,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
29,National travels and logistics,NON A/C Sleeper (2+1),20:45,4:00,07h 15m,1550,3,2.998542542,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,Kozhikode to Mysore
31,MMK Travels,VE A/C Seater / Sleeper (2+1),21:30,6:00,08h 30m,1600,3,1.080636967,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
32,EMERALD TRAVELS,Bharat Benz A/C Semi Sleeper (2+2),21:00,6:30,09h 30m,1100,1,5.506933761,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
33,EMERALD TRAVELS,Bharat Benz A/C Semi Sleeper (2+2),21:30,6:30,09h 00m,1299,1,1.656077103,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
34,J J YATRA,A/C Sleeper (2+1),22:30,6:00,07h 30m,1675,12,4.75454422,https://www.redbus.in/bus-tickets/kannur-to-bangalore,Kannur to Bangalore
35,Galaxy Tours,A/C Semi Sleeper (2+2),21:45,6:30,08h 45m,1100,27,4.860251988,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
36,LIYAS TOURS,Bharat Benz A/C Sleeper (2+1),23:05,7:40,08h 35m,1149,12,1.276010209,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
37,Agney Travels,VE A/C Seater / Sleeper (2+1),23:55,9:55,10h 00m,700,1,2.679404865,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
38,Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,7:30,08h 00m,1299,10,5.497622417,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram,Kozhikode to Thiruvananthapuram
40,Suraj Holidays,NON AC Seater / Sleeper 2+1,23:00,6:00,07h 00m,700,16,1.465676019,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Mysore to Kozhikode
41,NS Transports,Non A/C Seater / Sleeper (2+1),0:10,6:10,06h 00m,600,27,3.96953833,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Mysore to Kozhikode
42,NS Transports,Non A/C Seater / Sleeper (2+1),0:30,6:30,06h 00m,647,22,1.957449457,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Mysore to Kozhikode
43,National travels and logistics,NON A/C Sleeper (2+1),0:40,6:30,05h 50m,549,20,4.596636078,https://www.redbus.in/bus-tickets/mysore-to-kozhikode,Mysore to Kozhikode
45,DLT BUS,A/C Sleeper (2+1),22:30,5:30,07h 00m,850,18,2.110740287,https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Bangalore to Kalpetta (kerala)
46,DLT BUS,A/C Sleeper (2+1),22:30,5:20,06h 50m,850,18,1.013983415,https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Bangalore to Kalpetta (kerala)
47,Suraj Holidays,VE A/C Sleeper (2+1),22:30,6:15,07h 45m,900,19,4.972338427,https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Bangalore to Kalpetta (kerala)
48,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,7:30,08h 30m,799,36,2.08502104,https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Bangalore to Kalpetta (kerala)
50,MMK Travels,A/C Seater / Sleeper (2+1),23:45,6:00,06h 15m,1699,8,4.981776082,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore,Kalpetta (kerala) to Bangalore
51,Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),15:40,20:30,04h 50m,1499,2,3.675526259,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore,Kalpetta (kerala) to Bangalore
52,DLT BUS,A/C Sleeper (2+1),23:45,6:30,06h 45m,1900,12,1.947906477,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore,Kalpetta (kerala) to Bangalore
53,MMK Travels,A/C Seater / Sleeper (2+1),23:45,6:00,06h 15m,1699,8,2.838088856,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore,Kalpetta (kerala) to Bangalore
54,Suraj Holidays,VE A/C Sleeper (2+1),23:58,7:15,07h 17m,1500,13,2.229129605,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore,Kalpetta (kerala) to Bangalore
55,BLM Transports,A/C Sleeper (2+1),20:15,5:00,08h 45m,1606,2,4.053988443,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode,Thiruvananthapuram to Kozhikode
56,Madhavi Travels,A/C Sleeper (2+1),19:50,4:30,08h 40m,1499,2,4.966888054,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode,Thiruvananthapuram to Kozhikode
